ValueDate,STTHH,VaR,SVaR,IRsensi,IRsensi1M,IRsensi1Y,IRSensi2Y,IRSensi1w,IRSensi10Y,IRSensi5y,BasisSensiByCurrencyByPillar[EUR][1W],BasisSensiByCurrencyByPillar[EUR][1M],BasisSensiByCurrencyByPillar[EUR][3M],BasisSensiByCurrencyByPillar[EUR][1Y],BasisSensiByCurrencyByPillar[EUR][10Y],STTHH_limMaxValue,VaR_limMaxValue,SVaR_limMaxValue,IRsensi_limMaxValue,IRsensi1M_limMaxValue,IRsensi1Y_limMaxValue,IRSensi2Y_limMaxValue,IRSensi1w_limMaxValue,IRSensi10Y_limMaxValue,IRSensi5y_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMaxValue,STTHH_limMinValue,VaR_limMinValue,SVaR_limMinValue,IRsensi_limMinValue,IRsensi1M_limMinValue,IRsensi1Y_limMinValue,IRSensi2Y_limMinValue,IRSensi1w_limMinValue,IRSensi10Y_limMinValue,IRSensi5y_limMinValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMinValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMinValue
2024-01-11,14239,35890,0,-29581,-38073,-90907,-54276,-56606,-87525,98799,96832,47188,5688,55848,-6772,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-12,-52832,60902,0,-45583,-46105,82694,72896,-37253,-46990,37833,33240,-13886,-43490,39397,-79770,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-13,9999999999,58376,0,16478,31788,82594,7773,46442,-82935,39591,88362,36105,-22142,96526,-58728,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-14,70163,-29636,0,44636,-46973,-57867,-76609,46984,-36678,-54205,-57180,81872,2493,51518,-16520,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-15,-7902,11160,0,-89468,12561,79078,-41794,-42160,-73627,-94496,29844,-74802,-67715,65916,-97675,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-16,-37491,-19783,0,14043,-26566,-63705,35026,-37601,74678,31784,-36611,71188,-41025,-62536,-25929,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-17,-90743,-30235,0,44347,-35809,1432,-7820,58136,-93101,-74686,-10906,-74491,-25095,-17650,22516,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-18,12668,-87873,0,61079,-24730,60299,-78982,74491,36770,76661,-95846,42100,-82253,19708,-87579,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-19,-59734,-86362,0,91887,-46175,-68814,72776,72650,39430,52332,-24560,-49134,83957,70190,-31473,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-20,-65166,-20750,0,20492,-11946,-29773,12632,-29771,22798,-90759,-67501,56131,-89569,36046,20623,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-21,96973,14118,0,48949,-47011,25544,34995,-50414,-67569,-69390,89852,30726,-48273,27316,54598,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-22,51572,-68909,0,35169,-4944,26869,76116,-88916,80662,38188,-31766,-15242,-55795,35834,-15723,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-23,-94620,58211,0,-53270,-29417,-4323,-30224,-83989,77284,2050,78742,1734,-16464,55910,51729,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-24,-74861,-72618,0,-35210,24842,-35309,84292,48668,-80461,91479,57534,-44013,-41785,-12583,7393,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-25,92722,50324,0,-2912,-59964,-50966,4392,-12847,-59079,79574,59355,64740,-46536,-97317,47386,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-26,-2744,-16658,0,3498,72116,-53716,-25921,33609,-19080,-35635,91597,-48839,-11645,-16883,-40055,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-27,53769,49390,0,80598,45859,-92599,-38746,-91778,22781,-5122,-58093,35787,70077,-32310,41646,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-28,11129,-39508,0,-41638,-56459,46072,-21045,56291,40268,7862,-72793,82902,18561,-88582,81660,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-29,-98638,64707,0,97535,-3133,59272,5510,88140,92539,-64000,57761,-51263,32650,-41893,31620,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-30,92270,-46996,0,-62955,13524,-50314,-1374,-22685,-13206,14429,60914,75266,90984,-67041,27850,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-31,67488,-93260,0,-72485,-91197,-22164,-66938,86724,-22073,92249,-34330,27540,-92135,50840,45811,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-01,-49958,66190,0,25578,-96410,-2197,-72498,14530,46842,43004,39929,71211,51762,58748,51830,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-02,-89452,78681,0,75244,29315,-79340,8144,64712,20949,-2964,-20601,-65128,-94643,-45748,-82664,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-03,-47687,-93908,0,-22243,-81238,-10638,57518,33509,17115,-32684,-1036,-97330,83238,-75073,-54776,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-04,18964,13365,0,-15236,58041,-61845,39716,51138,77096,31183,97794,-78870,-67318,-53019,31511,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-05,-54025,-69840,0,-38581,-84840,-13878,-23685,74098,-73758,3300,83670,-4639,79986,5804,-13274,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-06,-73587,74211,0,-21489,-78675,47648,-51633,55040,35184,51787,58786,96813,-50655,-54253,-71086,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-07,-74961,-40124,0,-57795,-7173,28508,-46472,74760,69070,74935,52239,42588,80846,-48796,69418,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-08,93694,16796,0,-6224,-54105,-1239,-17301,-93851,2278,29301,46176,-11266,76520,92752,-2060,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-09,66689,-33845,0,63680,-57259,35047,28978,-80284,-17141,-6909,84109,96577,91133,99234,27367,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-10,-82159,-28033,0,49829,32492,62465,-87739,88340,74600,-4204,-5361,-74270,-56673,37936,-63140,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-11,-1170,24804,0,-11442,-8629,70900,-51861,25339,36473,-43221,-81359,-3043,90462,52839,7800,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-12,30908,86861,0,-36336,-93926,47432,71911,94315,24816,-28739,-65186,45353,29350,56852,-80912,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-13,67988,47726,0,86853,-77776,-55519,-78500,48885,64140,26829,672,-82803,97374,48239,32878,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-14,-93477,-74555,0,-50786,-36016,-11988,31966,-77119,30527,86172,-54794,-14820,-7980,-71365,-51153,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-15,34570,-50354,0,33945,-17656,-62260,82780,-5318,-70891,82676,30178,-28039,80456,43123,65041,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-16,-61718,-33511,0,-29979,-39293,91290,-4911,31409,77881,-45461,-92365,-10067,20185,-8401,68419,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-17,27653,61510,0,58741,51060,-38821,81934,13683,-12921,45998,-40299,-69113,98400,48837,85490,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-18,-45734,78828,0,-16943,64052,87420,2611,-5329,56180,72425,53113,50439,-66664,90034,71134,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-19,-9511,-19579,0,56329,35366,-82082,-53870,-51821,25511,-39062,-81772,-55373,3004,-12291,72957,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-20,29128,39172,0,3966,52196,-62986,-98473,83675,50177,-24278,-81832,-81997,29548,-27820,-86867,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-21,-8842,9925,0,51092,15947,-15659,-22973,24210,76901,58177,-20227,52403,-62850,16629,-60844,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-22,-80459,77245,0,-37991,56922,-70826,63261,-80616,-99319,44432,-30919,86154,-17855,-53964,6399,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-23,-36536,-70224,0,18373,-16907,-6897,5832,2237,88624,-74001,-42057,30788,45180,-8445,-49146,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-24,29132,-19313,0,-4890,-88826,-750,44087,59342,83663,-1866,82326,-17560,81580,50108,-51174,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-25,-12203,5356,0,1938,33647,15974,6581,78068,29526,70527,-33709,-87615,29699,3295,12133,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-26,-17988,15114,0,88230,47901,-69609,75784,-98726,-76444,1720,-38761,733,29247,56864,15136,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-27,79747,45915,0,10303,-61933,70533,-40900,-453,27144,2565,-86501,80589,33802,69574,63198,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-28,-95372,62931,0,86936,93924,28920,17446,26036,-43259,-42648,-82955,66671,-93552,-43009,34596,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-29,88578,-81555,0,50067,97895,-49312,-29610,2368,-34152,-48909,-69246,90637,-98791,76882,95937,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-01,66771,-38409,0,55285,-17359,-89374,-17306,20153,72807,67153,20377,-43257,84729,-64658,35153,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-02,-66098,68735,0,-75371,-5944,-55925,-859,-54343,94845,-87397,87387,13862,22128,-89165,-83332,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-03,-24537,34126,0,-95737,-99086,61153,-19281,-88776,39270,33317,-60685,-21420,12296,-39476,-15815,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-04,46171,69841,0,-39028,49018,40448,-96784,73064,-41468,-81288,24722,15591,-33723,57118,-18571,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-05,39299,-88291,0,-66724,20027,-25192,28269,91170,-57324,-56691,-98607,-86380,31633,88321,-72664,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-06,-3181,-34190,0,-52362,92663,-51954,42867,-30600,86070,87003,14615,-99959,46039,-14528,-29909,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-07,-7050,-87623,0,-80173,-77256,-3202,-40944,-5420,16843,-54006,58100,73579,60877,-3341,-29521,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-08,82391,-12225,0,98816,12755,66834,-50059,10982,81002,35972,69276,-41775,54695,-85659,87328,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-09,87660,-22365,0,7254,15788,-63766,86866,22019,66502,41328,77310,32364,-61142,1811,-4252,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-10,-8041,-48115,0,-19103,-6029,68513,20310,-92554,7619,-54536,-63345,-14038,53197,88913,-81566,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-11,-12979,-1517,0,-99357,50509,-47996,-18531,59179,-805,-83829,-44039,-28295,2181,80292,-91297,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-12,-29852,93109,0,30423,-9108,6718,36091,-55261,-46521,59465,7867,75391,2631,-35720,-82723,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-13,60189,56499,0,-61240,7916,89196,58141,-71691,45515,99621,-75405,-18599,71500,69919,16224,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-14,73598,13014,0,-9421,54266,33214,87280,7151,-14428,-83770,-59880,-20257,80712,69828,-44002,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-15,16547,-60884,0,-5284,-65236,37099,31149,32668,-48777,73754,27659,-53607,90684,-68699,-2085,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-16,94493,18961,0,34969,-71276,-13170,-21815,-22186,42378,87846,-86234,-9452,4372,20802,-31326,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-17,84952,89627,0,28339,45156,45700,-39014,-89764,-33742,53855,-92796,48685,32304,-94700,57,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-18,-68375,80065,0,23237,84365,13949,90154,-7891,-99819,81487,51667,-89896,85175,-53798,24129,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
