ValueDate,stranaNodeName,STTHH,VaR,SVaR,IRsensi,IRsensi1M,IRsensi1Y,IRSensi2Y,IRSensi1w,IRSensi10Y,IRSensi5y,BasisSensiByCurrencyByPillar[EUR][1W],BasisSensiByCurrencyByPillar[EUR][1M],BasisSensiByCurrencyByPillar[EUR][3M],BasisSensiByCurrencyByPillar[EUR][1Y],BasisSensiByCurrencyByPillar[EUR][10Y],STTHH_limMaxValue,VaR_limmaxValue,SVaR_limMaxValue,IRsensi_limMaxValue,IRsensi1M_limMaxValue,IRsensi1Y_limMaxValue,IRSensi2Y_limMaxValue,IRSensi1w_limMaxValue,IRSensi10Y_limMaxValue,IRSensi5y_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMaxValue,STTHH_limMinValue,VaR_limMinValue,SVaR_limMinValue,IRsensi_limMinValue,IRsensi1M_limMinValue,IRsensi1Y_limMinValue,IRSensi2Y_limMinValue,IRSensi1w_limMinValue,IRSensi10Y_limminalue,IRSensi5y_limMinValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMinValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMinValue
2024-01-14,a,-54341,86844,0.4545454545,98990,-7457,46541,63883,-34339,20993,38647,-57984,61658,-92649,-83192,29900,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-15,a,77868,-48599,0.4727272727,-4420,93739,-44784,-87553,-46884,-29745,96885,67998,46531,75113,-60746,-59410,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-16,a,-51868,-93786,0.4909090909,58182,55779,-35639,-23988,87766,39906,3817,15379,-54779,-75319,-96256,48896,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-17,a,6636,-6118,0.5090909091,-17023,47559,-41082,49143,-74130,-98343,21965,-50585,-22475,85394,-29829,-73628,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-18,a,-28770,20324,0.5272727273,55895,-1709,36474,-52704,-61213,89903,90327,67048,99922,47703,-53582,-91960,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-19,a,91080,-71492,0.5454545455,-88386,84393,-42989,-50662,83041,-26901,-64832,-75487,-5815,96264,59109,60311,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-20,a,54358,-32161,0.5636363636,71584,-49817,49900,-8585,18424,93878,-52468,90958,-9574,-93707,40784,-37390,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-21,a,79464,76465,0.5818181818,51914,-49702,72978,64144,-95247,-23638,-62908,-35223,-79515,96749,90569,-4140,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-22,a,79025,81943,0.6,80874,-42599,29988,47983,-40091,-33222,-11612,73058,16534,-87077,30404,53077,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-23,a,70149,-52901,0.6181818182,5302,31436,7749,-38036,-25003,-41505,-34867,22013,89759,-69373,-25347,-66295,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-24,a,37776,97463,0.6363636364,-1701,-47424,63007,-28216,-52245,66693,34944,-33471,1759,-30288,-31373,-51342,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-25,a,-60694,-29377,0.6545454545,54717,55840,4888,22355,-35468,64592,-23635,41187,91594,-53376,-59312,9120,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-26,a,98429,-56090,0.6727272727,86435,93503,83689,8645,-61870,59760,-75219,-11213,97274,57327,-62072,-98370,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-27,a,91515,42993,0.6909090909,36382,19455,-60157,3904,41876,53832,-56844,91656,40562,10831,91036,15204,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-28,a,-36780,-28648,0.7090909091,-87994,-25339,-3997,44611,72572,76863,-41065,-14937,-75291,-13614,-65078,69682,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-29,a,-41579,38184,0.7272727273,54279,-50860,79355,-71957,66008,-1369,30480,3331,-38355,-23374,-22364,-75558,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-30,a,-41632,60828,0.7454545455,-46491,67298,-88791,46606,36757,-63948,-96760,43652,30232,-96577,-85191,69671,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-01-31,a,69625,13754,0.7636363636,57920,11351,-77348,35967,-54974,26990,-35039,67334,81329,-87294,73,-9889,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-01,a,93781,94498,0.7818181818,70965,40222,33526,46934,58844,-62556,72764,87343,65034,-5617,28997,-59622,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-02,a,-10616,-52598,0.8,-30483,-55085,-66589,-49540,905,66719,43872,-76031,4110,-69428,34849,61769,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-03,a,72877,-76692,0.8181818182,-435,74199,-14965,25061,23073,-31922,11363,-87897,94444,24008,56374,65892,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-04,a,-72047,-51691,0.8363636364,61487,64779,-19612,55527,88451,-84054,90973,-44777,12352,-58457,58671,-30040,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-05,a,3939,-29576,0.8545454545,-59255,52927,25543,-49522,-96739,-27783,6927,83935,-27800,-77676,97406,75121,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-06,a,-74434,43989,0.8727272727,-89504,-70701,33247,44459,-18519,-30656,97242,-31672,1448,76073,19144,-37975,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-07,a,-59037,-26343,0.8909090909,-84227,16853,-69286,-59360,10422,15123,-8010,-47822,-95126,90826,-774,-55467,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-08,a,-98203,-39370,0.9090909091,79280,-32079,94466,84709,-5889,48970,17881,-1611,-70960,-16436,-91799,94346,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-09,a,65206,-95433,0.9272727273,-9758,54257,86971,-93464,-35368,-8935,6971,84849,-66808,90242,-59417,-73288,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-10,a,-52226,5251,0.9454545455,69552,-36485,2606,12044,60980,50924,-9349,71793,-28641,21299,-91508,-99551,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-11,a,-11458,38806,0.9636363636,48111,6886,-58670,82264,12557,-27298,40028,-735,-64890,-93743,12578,70987,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-12,a,-98779,-12798,0.9818181818,44077,12009,-90952,-43370,-3456,-44515,-69425,-88572,-75379,-38486,-9273,-93795,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-13,a,24266,2769,1,-80507,-56868,-91077,-81178,-59331,70957,-2642,-51980,-74538,-85203,72075,-63413,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-14,a,-74617,53585,1.018181818,6895,-68092,30040,82437,7604,43722,6795,-13880,-73900,-25442,48652,-96993,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-15,a,-83725,24928,1.036363636,-21320,-63718,-56555,49281,-94550,51778,-52112,52900,-91965,-91963,-39438,-5961,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-16,a,-43540,-19917,1.054545455,-40317,-38005,-92827,-95261,-9534,-94658,61047,19658,-12991,-35234,54047,-79195,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-17,a,-42074,-6214,1.072727273,-87559,43092,-26957,-36380,94028,46917,76742,-37357,-110,-51912,-84197,15404,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-18,a,-12665,-19258,1.090909091,-925,-86173,-937,-42796,28283,-48301,-45461,-7933,-4693,-21138,11067,-28598,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-19,a,-40406,-86311,1.109090909,1269,51227,-94710,-43840,-76837,-13942,-23902,-22611,-30013,16961,54045,45370,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-20,a,18323,-44357,1.127272727,-7512,-13063,79732,82351,66853,8190,-20563,53212,56335,11963,79965,-81732,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-21,a,59650,78362,1.145454545,98579,-76624,23073,93972,16021,81659,6421,44500,42924,87225,67020,77872,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-22,a,81726,-34277,1.163636364,54778,12088,-31723,92183,18439,-50932,19592,95296,66452,94472,-55035,34911,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-23,a,-84206,1844,1.181818182,79078,-40133,-6194,96470,-97904,8027,-64860,-73682,-54687,83617,13781,-80088,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-24,a,-7479,-56304,1.2,-40926,-31868,-29292,-82194,-19080,-45155,47328,-81550,-38582,48248,18776,55313,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-25,a,89241,87289,1.218181818,54481,-92967,66773,88238,57285,-46971,66422,87830,-98355,-93821,-51003,-33222,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-26,a,2246,56882,1.236363636,44865,80380,17764,-30625,33,71621,-17817,-2397,26920,-471,33308,-83792,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-27,a,-52036,33872,1.254545455,22767,-89689,59194,90678,-68118,-17056,-69550,-3458,-94038,82614,26298,-70029,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-28,a,49617,-77494,1.272727273,-44727,15710,-50529,45267,-90237,-11006,-25513,-2569,-88555,-20749,-32112,-86065,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-02-29,a,-99794,17036,1.290909091,79569,-67848,56480,-66702,51688,-24790,22652,-8090,-53666,-18135,60290,-81439,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-01,a,75577,32731,1.309090909,-57851,-42227,73582,49706,-97386,38494,870,-33045,-72170,32135,-54709,-76462,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-02,a,36656,-8344,1.327272727,-66599,86346,-46027,-99697,71362,-55006,44553,18957,-15328,1355,89750,71466,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-03,a,-28840,-77745,1.345454545,-51146,-6647,34522,41937,77850,-39744,37674,10749,-16610,-99500,-6415,83079,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-04,a,48654,-96146,1.363636364,-60003,71616,28047,68748,-86840,-47417,73706,60397,92160,13189,26242,46418,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-05,a,75914,-43840,1.381818182,21309,40558,-76058,-8567,40675,-42163,7108,-82472,-67903,-93143,67327,-36976,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-06,a,-82411,25645,1.4,17584,85721,78104,55190,-55442,40836,-91379,1420,10525,75332,19008,92451,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-07,a,-32165,32857,1.418181818,41011,-23995,-26983,-50389,-44619,-71408,43730,19865,16226,-6396,62362,3905,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-08,a,82996,-4029,1.436363636,-9606,62245,65609,60843,94644,54472,-72593,-42389,-95042,64824,43701,-53199,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-09,a,-38901,93218,1.454545455,30476,99953,48653,-30740,-54469,-58073,6980,-45117,-42111,4459,-10042,-97351,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-10,a,17310,-61233,1.472727273,-99002,69475,82541,11191,-55770,-46773,50361,-46612,-47916,33027,-92359,12062,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-11,a,36848,61596,1.490909091,-8883,46875,-33502,-38232,67502,-34786,-50929,-57859,99722,29467,-78124,136,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-12,a,-84408,88308,1.509090909,55239,45992,3545,23604,-35808,-5555,-5190,-1655,75637,6703,39283,71319,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-13,a,-90571,-19708,1.527272727,13403,-11175,97676,-64408,21073,-14401,44490,-58399,83489,55678,29907,-86684,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-14,a,78594,-32674,1.545454545,-58222,-99325,60690,-67664,39548,51022,95868,42402,-83991,-69097,28923,2301,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-03-15,a,-86513,51864,1.563636364,94657,77720,25642,-83037,-8394,-73364,-16156,5080,28622,44066,51426,61943,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
